Vehicle Technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
SI Conv Car,,,,,,,,,,
CI Conv Car,,,,,,,,,,
NG Conv Car,,,,,,,,,,
SI HEV Car,,,,,,,,,,
CI HEV Car,,,,,,,,,,
NG HEV Car,,,,,,,,,,
SI P10 Car,11.98242792,11.4061443,11.15676734,11.10759635,11.0562592,11.04419134,11.03210406,11.01999732,11.01999732,11.01999732
SI P20 Car,23.53358209,22.90199349,21.67421137,21.68973041,21.70513037,21.55908703,21.4115724,21.26256415,21.26256415,21.26256415
SI P40 Car,40.38287992,39.67617302,39.77599441,40.09636645,40.40045039,40.58030053,40.75982636,40.93903178,40.93903178,40.93903178
H2 ICE Car,,,,,,,,,,
FC HEV Car,,,,,,,,,,
FC P10 Car,,,,,,,,,,
FC P20 Car,23.53358209,22.90199349,21.67421137,21.68973041,21.70513037,21.55908703,21.4115724,21.26256415,21.26256415,21.26256415
FC P40 Car,,,,,,,,,,
EV100 Car,104.7970408,100.8916387,99.7106356,100.920206,102.1058391,102.1989788,102.2919855,102.3848597,102.3848597,102.3848597
EV200 Car,210.7025761,214.3075609,209.6653229,209.5791302,209.4720799,209.616039,209.7596607,209.9029455,209.9029455,209.9029455
EV300 Car,313.4740559,313.9078927,308.7068979,310.2008232,311.6859865,312.0139997,312.3414155,312.6682358,312.6682358,312.6682358
EREV10 Car,,,,,,,,,,
EREV20 Car,,,,,,,,,,
EREV40 Car,,,,,,,,,,
SI Conv LTK,,,,,,,,,,
CI Conv LTK,,,,,,,,,,
NG Conv LTK,,,,,,,,,,
SI HEV LTK,,,,,,,,,,
CI HEV LTK,,,,,,,,,,
NG HEV LTK,,,,,,,,,,
SI P10 LTK,11.90225471,11.69368914,12.50717665,12.77789274,13.04387849,13.01873844,12.99340991,12.9678915,12.9678915,12.9678915
SI P20 LTK,22.73371309,22.71006997,22.38477935,21.84674556,21.29073482,21.66262679,22.02809985,22.38738869,22.38738869,22.38738869
SI P40 LTK,39.25750556,38.31372205,38.31955692,37.89647746,37.46623673,37.67405998,37.88186201,38.08964317,38.08964317,38.08964317
H2 ICE LTK,,,,,,,,,,
FC HEV LTK,,,,,,,,,,
FC P10 LTK,,,,,,,,,,
FC P20 LTK,22.73371309,22.71006997,22.38477935,21.84674556,21.29073482,21.66262679,22.02809985,22.38738869,22.38738869,22.38738869
FC P40 LTK,,,,,,,,,,
EV100 LTK,101.9188068,98.79955957,99.121239,97.48351521,95.77818017,95.8565657,95.93482954,96.012972,96.012972,96.012972
EV200 LTK,203.8034769,208.7767042,204.4363076,200.6618981,196.7007171,196.7707239,196.8405208,196.910108,196.910108,196.910108
EV300 LTK,305.5099216,304.6062777,298.5191384,295.6773454,292.4963532,292.7001059,292.9035865,293.1067958,293.1067958,293.1067958
EREV10 LTK,,,,,,,,,,
EREV20 LTK,,,,,,,,,,
EREV40 LTK,,,,,,,,,,